ASIS{DrlMcz7fqm7YnVCfRQiclr0u6pFUVJ-r@erhsnrp}, d = 31, i = 10
ASIS{Mmfu1l14OLNUCuGZGNrN9_V|tFUWoQYT0Clk!53o}, d = 40, i = 12
ASIS{MnirKsTF9k1X4xe8bDmqoGfz{Ywaw27YoNo0ofJ_}, d = 40, i = 12
ASIS{Mp0Q-Sc}H7z3Yh3hAr6nIotqbWY-QrKE!u}Hmc1x}, d = 40, i = 12
ASIS{MsP?3fBV{7NCxJmR68I_XOtKlHiV@!dIktME}d-t}, d = 40, i = 12
ASIS{Ms}_}nDtZrHNFRh?F__DJze{e{lacn4g33ysW1Bw}, d = 40, i = 12
ASIS{MtJTkeS9JH{5AGwF@A5XTd3oSrR|0ZG1Ob2Dtbr7}, d = 40, i = 12
ASIS{Mv@V!TRYtSt|OPlU{!M6tU3kdZ@6kD-_vG1R89!n}, d = 40, i = 12
ASIS{Mx|aqPbp7Rq{5O8}?1-d1HNfALjeeJiZVhOCaT_K}, d = 40, i = 12
ASIS{M|TQ3S!3_OnlqqaUXIR8UIW3tj!n0{!A!w{?dhEc}, d = 40, i = 12
ASIS{N-B1sIAqtx5slPzsPIeR1A_xGsK7ALNT}-Id!eVF}, d = 40, i = 12
ASIS{N0Ga1?d|Qfse7IOCEP6qUvueoLROSjW7PqPJ}C7O}, d = 40, i = 12
ASIS{N2chn}wWY2HddycIeRxt4nP-8AGsKfiOt3HnQNb9}, d = 40, i = 12
ASIS{N4SSXgDrU3e6ld6D4jnFBjFuBiTdiwACp_5S6FgU}, d = 40, i = 12
ASIS{N4gN!LA4BW2POjIICV-bh7QZeQ_7z9tk35e!tBWv}, d = 40, i = 12
ASIS{N5-Kv_NGhjmA0v!hPQB7cF!HPKxC2WxeyjVli_61}, d = 40, i = 12
ASIS{N5q4GbNdFkw7xOSouc6Dy-8dnev@0Uv{Yrmrk5kB}, d = 40, i = 12
ASIS{N8gS{!HtGCUy9@qFtpTBjgnLiqgrEo3Eh{3M@6o_}, d = 40, i = 12
ASIS{N@xx8uIL|PTOWDKT9EtSybeZq4W2qEYsdM5z9Gli}, d = 40, i = 12
ASIS{NFhGqmG37iLYYaNJ4ovkuI}I{uZ9B!un9DR_SROz}, d = 40, i = 12
ASIS{NI2baq?N1b}wXQo{0ESxKzEc|28ugwQVp4VOt3ip}, d = 40, i = 12
ASIS{NMDewbCe1x0VBhJC?F42Z3E71OtDEoaY@{xEWjs!}, d = 40, i = 12
ASIS{NQ8EgHh-X@up7qo?Tr|}lb{!5_gxfE{OVv|riTCW}, d = 40, i = 12
ASIS{Na9rxetAhqNRccr@v|6IP3ubZ|H85SYQuBjd9Ai8}, d = 40, i = 12
ASIS{NgW_FlrBV1t4N{ZW|W2WK0bvN2IisE_ypC2?x-Yf}, d = 40, i = 12
ASIS{NiKD3kv3Nc8ZwVY-gxitSQ{1!G{KO7mM0q!OQUW?}, d = 40, i = 12
ASIS{Njn28LrR0AbuACNo}|4gSiYh8eS!7Cjdn54AW0R4}, d = 40, i = 12
ASIS{Nk8fyOnb}rh5_0SF8AsF8DE|oJz4@OM}5QX4_tDn}, d = 40, i = 12
ASIS{NkGqcx8-thPGzbGmr0DOu{JD-H|RBc2EhW7vxcYp}, d = 40, i = 12
ASIS{NkVPlPIr0X-Sg@qMjInVU!71xqYmrhVgG3fjvvUe}, d = 40, i = 12
ASIS{NnoepijVb2yzf!nP!ql|vvKd7KM7c@cS6-!_wF2l}, d = 40, i = 12
ASIS{Npg4z69QvB2tXSEbkEckJdckLuWb|Ik0GsgerpHY}, d = 40, i = 12
ASIS{NpxCGXKk4oryt?N?S?7P{tWmY??a-qseEwtFp|TB}, d = 40, i = 12
ASIS{NuPjLLoxi|rx9aiGWe87IhcOosKy57x{SWN-Q_Nd}, d = 40, i = 12
ASIS{NwtfqnfUGY}l0fsJKt01YvdrRHxxffqEQGdgS32A}, d = 40, i = 12
ASIS{N|kL5r_|rGTR8ZjnywGU@fsRpE|6SQSS}eyAB2eG}, d = 40, i = 12
ASIS{O!K5Yjk20PKVQcn9vvGN8{aHJdQe05oNNH9!V6_i}, d = 40, i = 12
ASIS{O5Nphf|FJiJhBC-!j3tIi-PK!?CZZtxP}JeeR1G}}, d = 40, i = 12
ASIS{O89V0?T!H}O3OoXNgUM29J5RrB@FMBYB7CnRjJ2_}, d = 40, i = 12
ASIS{O@EAvpEABrjd9@NGMHe!DI?usWL7j3WdpB}topAs}, d = 40, i = 12
ASIS{OBPKSPMvZ1PCqh7xjnkqu2}mj5c3RWjI{rlj|yX5}, d = 40, i = 12
ASIS{OC@Yt?1sTUqD7D@Nzbnd!D7RKEg6jNzJsO{m0mkm}, d = 40, i = 12
ASIS{OJhB-21YMr_jZkWDJmQ!6npZbh?wOgYliRNc0!Al}, d = 40, i = 12
ASIS{OL-2MaSvc1D8v5gLSa{!ImreZT}CRa-JgvYJZ-ht}, d = 40, i = 12
ASIS{OLzzHJT5TL5Nv?1cGieSWFgOV-ec8qxE6XqPxyc{}, d = 40, i = 12
ASIS{OQWz2_Dhg58ubcD@XVgFJtPpp{O4NrTg7ug|Xmqw}, d = 40, i = 12
ASIS{ORMzeUxT-K}nyoh_NTPo9w10sOA12OdkKAEP1}0n}, d = 40, i = 12
ASIS{ORfj@4rB!FwqL@5mBz|PyNjskmXQAMYbl1tOOvBh}, d = 40, i = 12
ASIS{OSr2n6pnuyScgMeal94WIKGb4djpvdude?51C9PB}, d = 40, i = 12
ASIS{OWUwWGGtlUg2Nc?7i4s}n_?Mq4Hs45e2UaZMXJzi}, d = 40, i = 12
ASIS{OWnD2h4OJeJvV6pMM@95Z@OMC51nPQru4NIFKlPS}, d = 40, i = 12
ASIS{O_Qnk3OrNNVOfFCX5psgcABSOls|H3|IbmsdwLCv}, d = 40, i = 12
ASIS{OaW_7GP8bV3Ge0ZxNIqIcO9fywb@CQmlE522Tlm6}, d = 40, i = 12
ASIS{OdZ|T7O4vfxA70xw9QDnXZt1iZW?Fw{cLrUdvTXG}, d = 40, i = 12
ASIS{OhL69kS08@p|KH{BO55!W_gM?SUtRa-J0}Dgo1Pc}, d = 40, i = 12
ASIS{Oh}hZVnQ7jFM5iKzjG|iWS}wRxfxfXApslctX_|j}, d = 40, i = 12
ASIS{Oi3@lgqdg_dqomezmj4tPa-IUd_xvRgFlJ-}Yn!!}, d = 40, i = 12
ASIS{OiHarNf1mGMX6Q5USAMz{VJvah5X2!p1SNN42OsD}, d = 40, i = 12
ASIS{OjKdXaeQW|VsO1-q|Tatpgql60CBibRix2ZcVgPa}, d = 40, i = 12
ASIS{Ojo?c21E}C!plJYd5DJn16{as4HyKyhVATDN!zUI}, d = 40, i = 12
ASIS{Ooab26vi0WhIUQ9KHicnBje_GkJkw{0z7yL1N1rh}, d = 40, i = 12
ASIS{OsfmecY0Jr?9YEn_0!DPOQAX{2L2u2NI-McwjAlU}, d = 40, i = 12
ASIS{OtDI1-94lBbTKTiZqHGdO}CZBb}fORNZeni@P5@o}, d = 40, i = 12
ASIS{Oth7c{bk{seDXP@FUi-CcXyRHRdcsTs-tNV!LXP9}, d = 40, i = 12
ASIS{OtxA0lze1JJXHDIQO29XJvUkclqNFuE_-G9gKsq5}, d = 40, i = 12
ASIS{OuN!7pAIuZZYD4hfqk@5rpMV{|TYpOKnqhNPbmZs}, d = 40, i = 12
ASIS{OxIaxSxziibSx01TCR4rNhAFXKtz2Ji-M|f2V1s8}, d = 40, i = 12
ASIS{Oy7cKiPrWNbWg2w0o9M9lsNlyZuZlSJn8XEw-JAP}, d = 40, i = 12
ASIS{O|D6_lJm22nYFmtv0qR7qRBoqyZPpc3_79g@{A8O}, d = 40, i = 12
ASIS{O}Ds5QTSr4-}mshCs80ItUW4jJ5GUA7M0Y2jcvq5}, d = 40, i = 12
ASIS{Q!hLUOiBINWpn}ZPOzQRVeFCbsq!EWco2dRs{ibB}, d = 40, i = 12
ASIS{Q1I-w8rRwnmFO!5hKoPKusiRm-85kK}VlJtNZqJn}, d = 40, i = 12
ASIS{Q1pY?uN!h{VgAd53ZTbHMLQr7Lt_6965U79X!S!3}, d = 40, i = 12
ASIS{Q4I50eOhreru_v5sL9aO@xNv!|1NMsMlz!JDFM@0}, d = 40, i = 12
ASIS{Q4zDNs!v3X5|NC|jwj}@c-VWpcz5N-QSy7pZ17J4}, d = 40, i = 12
ASIS{Q@VI3oElXnzIuQos2IUwT620RteINj-l3z?7KhJO}, d = 40, i = 12
ASIS{QBe-ulhc{Re3GPH0@|_68IBqxR1nZGTD{5Ao-bsm}, d = 40, i = 12
ASIS{QCNHb5646ZE9Z{i19Q2TsGTTx{0cNnf3zVcidsjb}, d = 40, i = 12
ASIS{QCNd6h-}cM6cAx9I4U2fweE8zmwAX5Fgn9p0rT7K}, d = 40, i = 12
ASIS{QEYt7ZEbxD3R4Bkv?e8uKv?_XhJ3TkPY9ze{IGpm}, d = 40, i = 12
ASIS{QFoNL_0f0qYNjVOQMrbPlk}Gh?pp9}-isa!sU@75}, d = 40, i = 12
ASIS{QIjPW@@}|eKtv9SU_DezMLuug?n4FNZXm6s84nEp}, d = 40, i = 12
ASIS{QJk8LcG@RNoKC-1_2GvDCM?H8lTpu2P7vcpn{CEY}, d = 40, i = 12
ASIS{QMKkqPkGn_earEX7M0lQh4PKPruWSN?h7fkF0UDi}, d = 40, i = 12
ASIS{QOtHycEqU{Uk@54oUYMniCt7gvT{Lvxmn7WdIMSZ}, d = 40, i = 12
ASIS{QRga51mR@F-H3YE{5OI4kg7AHNT0VY{VsBf|21Vq}, d = 40, i = 12
ASIS{QTF7c2q-I3XTyVGkT3DP|onhDbFhjZ1SwiOpb0Zf}, d = 40, i = 12
ASIS{QTRtHWfX9Lwkj?}0w3!sS8RrMG-OlRiEysRLhayC}, d = 40, i = 12
ASIS{QTtSGJVw{js!tc{7Nh9KhqxOI{t85Y3M|BFMEaSH}, d = 40, i = 12
ASIS{QVVRQ?dv?_voIr2iqstM!Jsm|DJQba0t7eEtfBeg}, d = 40, i = 12
ASIS{QXhbsLH6mcN1Fzf515y0TGVOVN!YVOjzwItzEiz0}, d = 40, i = 12
ASIS{Qa1EY7!N3_wMV8LCqnpACqY5?DKoWnE?uz?fH0RA}, d = 40, i = 12
ASIS{Qaxy-2ySrg0d!0XJW1_RSN5OljNsGaXHIRkiNDJz}, d = 40, i = 12
ASIS{Qb?-!gZu{81AMUH2?sY1COyEjboXuprNOgP5dn}e}, d = 40, i = 12
ASIS{QeLwOemDa55Lp7Rv@M|E_?3-{m78bvKeSFw@i8_R}, d = 40, i = 12
ASIS{Qg5CNZHZXL9gP2WGKMD4tPS@RDeGwmppkAicu!Yl}, d = 40, i = 12
ASIS{Qh}B{TbMj-ni9VN7VLTtGAcHovt_SBI4TLgacz!M}, d = 40, i = 12
ASIS{QjUwn_4!j}B}TR!0ZjLd@whoPhrffZ6{eOTHHKsu}, d = 40, i = 12
ASIS{Qjb{8iqbiCA|t!cnbecja_bpcFbKJ1x91NSKHX3b}, d = 40, i = 12
ASIS{QjmzS6X!O}Rju1CCTInG2sHt?PbYk38}-3PQ}w7s}, d = 40, i = 12
ASIS{QlHDqVnDK!B4JO?WEaB9vWMvWTF0OQGh3wZcrFL1}, d = 40, i = 12
ASIS{QnB_e8wMQ4K0_T--UmmEn|IcB5YFwkTMs{|5vN6m}, d = 40, i = 12
ASIS{QnYOzYwx?PoGrk74Nu8JiD2MWSV{bH99wsY1VoEd}, d = 40, i = 12
ASIS{QoV}D27i}}1G{OUG4h9g@ZEM5_MJJrXQek?NXSla}, d = 40, i = 12
ASIS{QsjSp!{6a9TCqrCpWU5hUM{qwjt0wau2Ego{Dv7U}, d = 40, i = 12
ASIS{QtS0FA5F4NGMtvpGQY|PGp2Fm|IUE95TplnFq0Y5}, d = 40, i = 12
ASIS{Quk7qGAFRcZg_96|XERKt!!HIwH_q2usppxPUnqO}, d = 40, i = 12
ASIS{Qwm-e6As6SsxOMQctD@itoLTj9E26suKso!PV_S@}, d = 40, i = 12
ASIS{Qyw3IFHe3TB11mM9_iCLh{sc{ywp}EzqbX0g{FSh}, d = 40, i = 12
ASIS{Q|OhEVp5VvvoTv-u|rO|AhgOlgzNstoYt-sr-bPe}, d = 40, i = 12
ASIS{R!CQf9@u@Je6u17v0osY3M6uRW7CaquZP_{sMVZr}, d = 40, i = 12
ASIS{R-3LHnBRU@xHtyCN@2sef4eXi5yw@c6OfCIIGqx{}, d = 40, i = 12
ASIS{R-G4jK4n_QVVTwsDcEhA}KUlzoi5AIU_obiJRtYS}, d = 40, i = 12
ASIS{R1kM8j!rE{I!O1@Elw_3D}t|KjOqpQq}BEEmHiuP}, d = 40, i = 12
ASIS{R2LJBn0Y16lsBBHLc0!5np@E-n60zxJii5bF7Xca}, d = 40, i = 12
ASIS{R4iN5OxAApNqqGt5KOThEHO6wUuUJFuKVmK7f_C5}, d = 40, i = 12
ASIS{R7nkylbmfULGZLN8NJHVminORP6?!SY8x@x5elpX}, d = 40, i = 12
ASIS{RC0!WrfaYwM0X5ONAEsgDOF!!LG3psN!b2?zriY@}, d = 40, i = 12
ASIS{RDRFKDXHpmrWG?ajw1dFneDdxmY!Ysz}sSlaTitK}, d = 40, i = 12
ASIS{RJd!iVmAe8P{t8pFvZ4b68SYpQK69z4dl8EL1}Ip}, d = 40, i = 12
ASIS{RMyla}O@KjNS-tdK3Ai5S4icevjd}F4}VlF-eD5Y}, d = 40, i = 12
ASIS{ROMt5?Rll?_vM2d0{Whau9Sa!CL-5|0z4yCJri_M}, d = 40, i = 12
ASIS{RX9UbfdRlgc4d32!3kYm3R7_p2DP-OxNo{SO3FFF}, d = 40, i = 12
ASIS{Ray6TnWfvIxUx05iXLSJ4}Adx7ZxPZ8_n{|P_ZCY}, d = 40, i = 12
ASIS{RcGT1BzKhRqOyCSb9On{|!Iw0Fj{7MJvHXmWyy@P}, d = 40, i = 12
ASIS{Rcj!LMUW0AgSOXEAlNRMo7evZWqDbc46JNUIdm|Z}, d = 40, i = 12
ASIS{RcrZj7@7oGXwJvJltajWb2hc4wE3|0?ZT8xWeVC3}, d = 40, i = 12
ASIS{RgY_RkbLzhWySrk|XZ0Q-7@mpatGnTDOuKvK9zTu}, d = 40, i = 12
ASIS{RhnoT?GrVXtYtAoYGIS44!h8J3Sza2YL9b}_zb5i}, d = 40, i = 12
ASIS{RkepB7i!0uUEtMcbB?KLKu@vJ||4GVcLGB}??Rvt}, d = 40, i = 12
ASIS{RmOB15_liQya9EHmxif8aY8r07{KRoEcWgjL3UVR}, d = 40, i = 12
ASIS{RoSyiQm1uB3-fXOa8vw{ccooXk_MrjDEVFDALp@_}, d = 40, i = 12
ASIS{Rsmq{h4s4qDzNUV?7FsLAB2OcDRJ55nT2XRrDzk0}, d = 40, i = 12
ASIS{Rt0uB!G32-!iZyPXMIcEJixQ1lCFUjfK7RG!tsBY}, d = 40, i = 12
ASIS{Rtx22WIGgzyej}Oq97Avur-oOnRqIW9No1QGELPL}, d = 40, i = 12
ASIS{Rw8W15{8?PhYNyL_1IsbvB!?Kon@2knzKdth3b!q}, d = 40, i = 12
ASIS{RwN5wzeTvZGB2IKU3GOGI-g@s8zzBB!Ukl_uTHE?}, d = 40, i = 12
ASIS{R|h59KruOZA7NRS1S?bnPXAoQhXq!RSYrQCO}9b_}, d = 40, i = 12
ASIS{S!fuR7XLLkTiDGO-GhAZzkND-4}vZpTmNTZS_7d8}, d = 40, i = 12
ASIS{S01QVrY2YBBNN19h}cBv40tOzM3Zrq8GcEzEZA1{}, d = 40, i = 12
ASIS{S17XnZIS_k0OupUbZkYBsRX_x|wqU9XWakwoNWN3}, d = 40, i = 12
ASIS{S27IlPfcUcZULvWWoLhOPi@@oFfr4jXW!ZlNnZjI}, d = 40, i = 12
ASIS{S3C9OlT1{OvJUi_wF{NSmB3inBVqCm9baQz4PLdF}, d = 40, i = 12
ASIS{S50Y1qvC}pvIICrmCL@_bN}xurzdK?cGmR!SF2qV}, d = 40, i = 12
ASIS{S6AKgRV3MSz{dP!{Etpt5sYs3VHLUC8m3pyicxu{}, d = 40, i = 12
ASIS{S6F7O@n86UHtL11A5HcB@6JlJads2xT-s@zC0iC5}, d = 40, i = 12
ASIS{S6NwVuwqW0u64VxOS40XxJstmjzN2p1v5HlR@MdJ}, d = 40, i = 12
ASIS{S8nmPJP0VrKDb!7JFyyB}Ow|zs?pAk3W6HPJbU_j}, d = 40, i = 12
ASIS{S9oj77_3|eg-KdkKFe@?lcRpeERx1YDWRdEvP_hp}, d = 40, i = 12
ASIS{S@ntVvbPyMSk0cZwXHu_CRk_y7ti5SRu?gIC2-X|}, d = 40, i = 12
ASIS{SCt_erOMdGv@9auwZW5}o!YWdeN!rr8q14@-}Lkd}, d = 40, i = 12
ASIS{SDVY}WOvs5M!|qF@O!coWqy!|M5sFd}tqQpPTlfN}, d = 40, i = 12
ASIS{SFHJ?vqM{0iPGWh!kRUe5wOG@Sz!-ATAKmLG0NN!}, d = 40, i = 12
ASIS{SFd9t86ZTOXMyFMB@CoW!A5S-s3@ELCS2ZN7tdO1}, d = 40, i = 12
ASIS{SIsCHXSA!?Ctsrypr!wHMhHsNbF50?XWQN3XdP04}, d = 40, i = 12
ASIS{SNTFfG!2QpIl-!X38n!Y_m2V4E5J|m3FGOFbXNXy}, d = 40, i = 12
ASIS{SOmz!zNF6dH|0vcxD}IwZ7}iKVrjhdzOqr05zBXt}, d = 40, i = 12
ASIS{SSSsjoDtRTs4YXeAkxm6uNMv?WyVf03ZS2y!IojZ}, d = 40, i = 12
ASIS{SUltdHDeRvGLu16wva0ngeqgudntlpROULNOBJ5H}, d = 40, i = 12
ASIS{S_Kr@fwG7tQKAjLySHJL3j5nlkM!_p5Y3kOZf0WO}, d = 40, i = 12
ASIS{Sb5iurDR_YKx3W_R{qMnl{61XyfMW0iHj73AnYHN}, d = 40, i = 12
ASIS{SbCg0vZv4Q65Om2blg47ESCA}6@FhbgiQ{W!lvRt}, d = 40, i = 12
ASIS{Sc1muOqgarPE01Nctaa2anVCAySq}hVq!Ac{wydE}, d = 40, i = 12
ASIS{ShWKI!Ls1AzAkq}J4Z_ot2iv8HN6}SdEosLmjy01}, d = 40, i = 12
ASIS{SkJ{wxy8tNq!s}hf|Te1sh4c7bJ}mobfBAdUqxrX}, d = 40, i = 12
ASIS{Skg|e7iRfpokhzvtdIz-vWeHg!0_D8FkyH9|lvgs}, d = 40, i = 12
ASIS{Skzc16D7i@dMFYypYTxKnSM4AMaHo6CV7tUM5RLy}, d = 40, i = 12
ASIS{Sm58F-B7CwQpXOIsZUdIH3v4EUY4BTDWQ-4rhfVv}, d = 40, i = 12
ASIS{SnN-!iL6pbsxwHRc@qOlQ7ykm8!P?6hOkX?zK8Z}}, d = 40, i = 12
ASIS{Sq8IzS@SE4asw4UDsAYJi@{k17x57R92OU}mt{PI}, d = 40, i = 12
ASIS{St45}2nGmvYxjWDAGH9ZkwkMr|3svRhwv8@7SGdi}, d = 40, i = 12
ASIS{StT2HilFVfY|PJHKDWkN!g|rU?Ti8RKA}ac07i}K}, d = 40, i = 12
ASIS{StzNEW1K13@NCEeWI8ATZ6Dgw_A4Ni7eQBDdlVgb}, d = 40, i = 12
ASIS{SuIsiW9}zejW12J|mgNa3tk{idIkEgZx7Eqr{90M}, d = 40, i = 12
ASIS{Sv@3EBsf|a|q1}zgVjbKVm5OfRXU7mg1d!6e{YoM}, d = 40, i = 12
ASIS{SvazqZ02VfcxVexWO4mPWYW@QuX?cR!R@FTo6Ym5}, d = 40, i = 12
ASIS{SxITjzLriM_6HYVWcGXBjN-B@{NZ!||vtpkOo_W9}, d = 40, i = 12
ASIS{S|5p3-MQ21jhhHM8T99tBTaruqsyHVreEWtC!YS-}, d = 40, i = 12
ASIS{S|GV2MrOgVuD1l|{5tODC4DgzHu-{0IAtc!|eXPt}, d = 40, i = 12
ASIS{S|OG0HN9UhS9lIXS{9d_r3n92w2AkTFxNePgS4jz}, d = 40, i = 12
ASIS{S}1AMYWLzaOM!!_8gphGNsOtRkTXAwi?XszBadtG}, d = 40, i = 12
ASIS{S}A5?sqc1z4U-IK88KnzBvcjM?L2CE@NYF25_|R1}, d = 40, i = 12
ASIS{S}TTu|C5!fMle?nwSZw2r5iJB?-0iMbkLJ{R|Ccp}, d = 40, i = 12
ASIS{T!t}TJso4S0fg7yFiGiKQx2mbFDDpV3G0iqm{We?}, d = 40, i = 12
ASIS{T-st3q|n2L0IalwISs-?5i{MaoRm0?ghPtv{@nSZ}, d = 40, i = 12
ASIS{T5mYJyur9?!5kIb@!OtWU?YjDcaZrIb4nZsJiPuM}, d = 40, i = 12
ASIS{T6U8N7x!YakO4rgPdvCWr{Z3LQWxgOudiYUvtkbq}, d = 40, i = 12
ASIS{T7Xg@Bghc2|pjF}R2IGFzUcI8{sCy3_{U1eQS@EZ}, d = 40, i = 12
ASIS{T7YonWen4SEe6RK6PlZKuKUxxiuQ7mKtynqteg!4}, d = 40, i = 12
ASIS{T8grLw1XOuCUu1Y3!GevMRn}!RX9SXyal!g8B-kt}, d = 40, i = 12
ASIS{T?{LX3XnW94C}RhTxXR6e0F5vO8TgwfRj4fvieKt}, d = 40, i = 12
ASIS{T@N6IBA4T|tpwbIvx!T?NoWSR!!XHD5aAz7hUnVC}, d = 40, i = 12
ASIS{TAWDvyZWsjP7r6qEPJm7WAH2@5RjOBmlyp1K6dOX}, d = 40, i = 12
ASIS{TC0YN3oTpqcLx4cmzyI0?9Uq?{x1vENLNKXBSBPM}, d = 40, i = 12
ASIS{TCldYDU@IPnVpxg-K-naN}fF3uVEl87!mozrls7v}, d = 40, i = 12
ASIS{TCxB}FjMmX5PBve?f}k0}82R}yH7dFkitDYcT68E}, d = 40, i = 12
ASIS{TF8B7qeK4vBvslI8bOz{eCrc2Rg!fiCDzK8zA2A@}, d = 40, i = 12
ASIS{THg-|h{rTc6sNos7wXx0rsicmnKTG2NngE@-6_lO}, d = 40, i = 12
ASIS{TIVjb7jmtMuRoaITwPya!cSBQruXO5UUWWusDTZ!}, d = 40, i = 12
ASIS{TJrW!EJzYRR3DQfyBnILXMmZGdzOXsL|s47WRSk9}, d = 40, i = 12
ASIS{TLVBpQ9eq35sMgCVvGKEM-5DK6V7LR7mpGV}|PEt}, d = 40, i = 12
ASIS{TLtJp5w3?J6RH3}NbxX-_Wqc4zM8rscXUrhaq8cU}, d = 40, i = 12
ASIS{TO@O6e4NUzGRhrrqVIWJeu@CvcIhj70FEkqBa07g}, d = 40, i = 12
ASIS{TQmYSLaST4r58FAJQyu0Zn1nXNVq@7PnPvy04}km}, d = 40, i = 12
ASIS{TRV|f2-xCzsuk@UlkBSm4P51PNpwC86fNy2Fn0wg}, d = 40, i = 12
ASIS{TT0BSD04eem{bppGnCymjErOAk0VP3F8k0z|Mw-e}, d = 40, i = 12
ASIS{TV4lAY_npPglZV?svkzH}6KuQB0W!eHRg}-pGMdP}, d = 40, i = 12
ASIS{TW2JluAOcQVT1Yt@4mQP5MJTZ1uDsvV80U3wUuF8}, d = 40, i = 12
ASIS{TYPc}V{0_u_}nkCyG2?EAaBe6uR3qlML5Fhu?Wi5}, d = 40, i = 12
ASIS{TYsiauLoxLH6_9MsEeld?rX0{dcl}IXD9YnxjNRy}, d = 40, i = 12
ASIS{TbyfDN1E|F@?DCRW|PrOpujh{nPG5h{xYc?u}L}M}, d = 40, i = 12
ASIS{Te15Oao4A?nm0l|Ta?cHL3LKA9|seEEZb3VadIl0}, d = 40, i = 12
ASIS{TeQ{7e7Q4kOfFg9pnEJ?NnW6cC9zg}fOx34iLyUH}, d = 40, i = 12
ASIS{TmY4ozFT1@6pVO0syB2TWqr1tkloHFhdP-Hi7?FQ}, d = 40, i = 12
ASIS{Tt5ycjZTjX4G}JcnyJu0z-sEVWeDF7h3hT727V8z}, d = 40, i = 12
ASIS{Tte?}ak6swys@hYVs3U{17ODw2s{AI41N720Qkjr}, d = 40, i = 12
ASIS{T|1t5cy3_58qo8Qi3@T3b81InTc3hs0VTBNLJiyk}, d = 40, i = 12
ASIS{T}E5dyjeSwgc4XKgCc}9XOnpAOSNsZXmFwyJJlfF}, d = 40, i = 12
ASIS{U-5hekj2H4GaN4tQEt5K{oGA5?h{ckpASCi1kk7N}, d = 40, i = 12
ASIS{U04r9|_O_|fq{{j}c4Am2HHLestpqhMijyeLLngf}, d = 40, i = 12
ASIS{U0c70I6d-T9YPVlpNDjxxv8rvC3Razvub8p-VOIf}, d = 40, i = 12
ASIS{U1dwBxJOCrYgncZ!0_2DN6BDaWP6zZ|bOSdTrWxB}, d = 40, i = 12
ASIS{U1lzXhNiYP36TaLT1DqWDZ-uv{p4vPSaZwcnHQ4@}, d = 40, i = 12
ASIS{U2D8W1v6SJe2pO0nVFxxDQ75snuJJ?idklZGpajS}, d = 40, i = 12
ASIS{U3tD-0ydg?Qbc}D2PMU8vOEor}_{hMf9dNX0387t}, d = 40, i = 12
ASIS{U5bEfuqDuO22bHz|KtVRgWqlCv@rb1@0iIcuF0!o}, d = 40, i = 12
ASIS{U?ysX}!fiIm3UFN3UN_@SuA?OjaiXKP5Z0b0a@57}, d = 40, i = 12
ASIS{U@8ytuO?wJVor!RcB0h5t2YOyOXxwlnk4TwUweYe}, d = 40, i = 12
ASIS{U@y{72MaXclkOcSQTJHMBQNy-!|zu01P!a25EAYS}, d = 40, i = 12
ASIS{UBP_HNr4j5NudZpWfBcqc8qyYQaQ3WKT74T|Joe7}, d = 40, i = 12
ASIS{UESS!B2mlnaw-HFjeC9QyltPDoj1p4VLHvC?Dr{Z}, d = 40, i = 12
ASIS{UFQtQ6rT!|vVrzOJ0wcVGzFs{qQWvo|vJSJrM_di}, d = 40, i = 12
ASIS{UH2tss8giXteD0j}NMXl|?n1@1xpk6l!XaEzJm4t}, d = 40, i = 12
ASIS{UHtME8RNKd97}0iGlMxsgAA4l4omH6nNOqUJy6_6}, d = 40, i = 12
ASIS{ULQukp7utenC8D}1X{5Qz6VHhHSdpv4HLg9NxaOY}, d = 40, i = 12
ASIS{UMHb{7VnxiPR6F4YQWoBm{t-Hx0rT?L}sl2j?}p7}, d = 40, i = 12
ASIS{UMQ?eRiCtIcRCHnuY7DXz!kWLsNRxH9QG42L0YVt}, d = 40, i = 12
ASIS{UNQZA@@@@9aDsrWYb2yd3w!n0kElJ0MXAOiej265}, d = 40, i = 12
ASIS{UP1kERw?_9mwy7tEs9FAdZv?NGtzRY4bPe1JI8{_}, d = 40, i = 12
ASIS{UQUcIkZUCURkxdF0BEc3BNifsD2{wmQPa?XztS7-}, d = 40, i = 12
ASIS{URU7LHvA{_HXNgcU|Ex{2jQi67Xr4iXPa{FyPwpY}, d = 40, i = 12
ASIS{UTWU2k0Eg9MBc3pA4xQ4NXx_aI0z{A?VlSMnbtXl}, d = 40, i = 12
ASIS{UTvA5dkS{gIetiEmNmXGZcv}{beAN-2ZON4Qa?wU}, d = 40, i = 12
ASIS{UU?{Zbw0bPJZx?i|vB?!plq13Yf4XhP|Jr}OjRaK}, d = 40, i = 12
ASIS{UbNJn5HNtdqxakPUvX_gwKLTUKbNidv2pDOxuFsF}, d = 40, i = 12
ASIS{UeL8{Hx2i}McT5K-DcP@lu39|E7d!fKTg64_k-g-}, d = 40, i = 12
ASIS{UeYgXg!pc5e}K_@z1pR4eGDfjVL6PeauNCYpZaEd}, d = 40, i = 12
ASIS{Ukv1Ig2pKzcgNb-4Q{_b6I@?N?wOurl|EY5MpDfR}, d = 40, i = 12
ASIS{UtzlzNBgRF5McnGpd5Eayr{FML-2u1}0z_A5Gzzf}, d = 40, i = 12
ASIS{UufScA04|k3hwvGQM4mbsct!Mt}KGq77Xqme|p}4}, d = 40, i = 12
